Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_UA_IAT_SettingsTabName,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods,ItsATreeMods
STR_UA_IAT_ToggleReportMenu,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle,Report Menu Toggle
STR_IAT_ReportMenu_MenuTitle,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu,Report Menu
STR_IAT_ReportMenu_ReportTypeLabel,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type,Report Type
STR_IAT_ReportMenu_ReportDescriptionLabel,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below,Enter Detailed Description Below
STR_IAT_ReportMenu_ReportDescriptionText,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.,Enter the details of your report here.
STR_IAT_ReportMenu_AdditionalSubmitInfo,"Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username.","Your current location, heading, and SteamdID will automatically be included when the report is submitted. If you are ok with us potentially contacting you in Discord, please provide your Discord username."
STR_IAT_ReportMenu_CancelReport,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel
STR_IAT_ReportMenu_SubmitReport,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit,Submit
STR_IAT_ReportMenu_ReportType_Terrain,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report,Terrain Report
STR_IAT_ReportMenu_ReportType_Bug,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report,Bug Report
STR_IAT_ReportMenu_ReportType_Player,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report,Player Report
