"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicles_IAT_FurnaceKit_ColorBase0","Furnace Kit","Furnace Kit","Sada pece","Ofen-Bausatz","Набор для печи","Zestaw pieca","Kemence készlet","Kit fornace","Kit de horno","Kit de four","熔爐套件","炉の組立キット","Kit de forno","熔炉套件",
"STR_CfgVehicles_IAT_FurnaceKit_ColorBase1","A kit for constructing a smelting forge or furnace.","A kit for constructing a smelting forge or furnace.","Készlet olvasztókemence vagy kemence építéséhez.","Sada pro stavbu tavicí výhně nebo pece.","Ein Bausatz zum Bau einer Schmelzesse oder eines Ofens.","Набор для строительства плавильной кузницы или печи.","Zestaw do budowy kuźni do wytopu lub pieca.","Un kit per costruire una fucina di fusione o una fornace.","Un kit para construir una forja de fundición o un horno.","Un kit pour construire une forge de fonte ou un four.","用於建造冶煉鍛爐或熔爐的套件。","製錬用の鍛冶炉または炉を建築するためのキット。","Um kit para construir uma forja de fundição ou um forno.","用于建造冶炼锻炉或熔炉的套件。",
"STR_CfgVehicles_IAT_FurnaceKit_BasicStone0","Basic Stone Furnace Kit","Basic Stone Furnace Kit","Základní kamenná sada pece","Einfacher Steinofen-Bausatz","Базовый набор каменной печи","Podstawowy zestaw kamiennego pieca","Alap kőkemence készlet","Kit fornace in pietra base","Kit de horno de piedra básico","Kit de four en pierre basique","基礎石製熔爐套件","基本の石造炉キット","Kit de forno de pedra básico","基础石制熔炉套件",
"STR_CfgVehicles_IAT_FurnaceKit_BasicStone1","A kit for constructing a smelting forge or furnace.","A kit for constructing a smelting forge or furnace.","Készlet olvasztókemence vagy kemence építéséhez.","Sada pro stavbu tavicí výhně nebo pece.","Ein Bausatz zum Bau einer Schmelzesse oder eines Ofens.","Набор для строительства плавильной кузницы или печи.","Zestaw do budowy kuźni do wytopu lub pieca.","Un kit per costruire una fucina di fusione o una fornace.","Un kit para construir una forja de fundición o un horno.","Un kit pour construire une forge de fonte ou un four.","用於建造冶煉鍛爐或熔爐的套件。","製錬用の鍛冶炉または炉を建築するためのキット。","Um kit para construir uma forja de fundição ou um forno.","用于建造冶炼锻炉或熔炉的套件。",
"STR_CfgVehicles_IAT_FurnaceKit_BasicBrick0","Basic Brick Furnace Kit","Basic Brick Furnace Kit","Základní cihlová sada pece","Einfacher Ziegelofen-Bausatz","Базовый набор кирпичной печи","Podstawowy zestaw ceglanego pieca","Alap kőkemence készlet","Kit fornace in mattoni base","Kit de horno de ladrillo básico","Kit de four en brique basique","基礎磚製熔爐套件","基本のレンガ炉キット","Kit de forno de tijolo básico","基础砖制熔炉套件",
"STR_CfgVehicles_IAT_FurnaceKit_BasicBrick1","A kit for constructing a smelting forge or furnace.","A kit for constructing a smelting forge or furnace.","Készlet olvasztókemence vagy kemence építéséhez.","Sada pro stavbu tavicí výhně nebo pece.","Ein Bausatz zum Bau einer Schmelzesse oder eines Ofens.","Набор для строительства плавильной кузницы или печи.","Zestaw do budowy kuźni do wytopu lub pieca.","Un kit per costruire una fucina di fusione o una fornace.","Un kit para construir una forja de fundición o un horno.","Un kit pour construire une forge de fonte ou un four.","用於建造冶煉鍛爐或熔爐的套件。","製錬用の鍛冶炉または炉を建築するためのキット。","Um kit para construir uma forja de fundição ou um forno.","用于建造冶炼锻炉或熔炉的套件。",
"STR_CfgVehicles_IAT_FurnaceKit_Advancedstone0","Advanced Stone Furnace Kit","Advanced Stone Furnace Kit","Pokročilá kamenná sada pece","Erweiterter Steinofen-Bausatz","Продвинутый набор каменной печи","Zaawansowany zestaw kamiennego pieca","Alap kőkemence készlet","Kit fornace in pietra avanzato","Kit de horno de piedra avanzado","Kit de four en pierre avancé","高級石製熔爐套件","上級の石造炉キット","Kit de forno de pedra avançado","高级石制熔炉套件",
"STR_CfgVehicles_IAT_FurnaceKit_Advancedstone1","A kit for constructing a smelting forge or furnace.","A kit for constructing a smelting forge or furnace.","Készlet olvasztókemence vagy kemence építéséhez.","Sada pro stavbu tavicí výhně nebo pece.","Ein Bausatz zum Bau einer Schmelzesse oder eines Ofens.","Набор для строительства плавильной кузницы или печи.","Zestaw do budowy kuźni do wytopu lub pieca.","Un kit per costruire una fucina di fusione o una fornace.","Un kit para construir una forja de fundición o un horno.","Un kit pour construire une forge de fonte ou un four.","用於建造冶煉鍛爐或熔爐的套件。","製錬用の鍛冶炉または炉を建築するためのキット。","Um kit para construir uma forja de fundição ou um forno.","用于建造冶炼锻炉或熔炉的套件。",
"STR_CfgVehicles_IAT_FurnaceKit_Industrial0","Industrial Furnace Kit","Industrial Furnace Kit","Průmyslová sada pece","Industrieller Ofen-Bausatz","Промышленный набор печи","Przemysłowy zestaw pieca","Alap kőkemence készlet","Kit fornace industriale","Kit de horno industrial","Kit de four industriel","工業熔爐套件","工業用炉キット","Kit de forno industrial","工业熔炉套件",
"STR_CfgVehicles_IAT_FurnaceKit_Industrial1","A kit for constructing a smelting forge or furnace.","A kit for constructing a smelting forge or furnace.","Készlet olvasztókemence vagy kemence építéséhez.","Sada pro stavbu tavicí výhně nebo pece.","Ein Bausatz zum Bau einer Schmelzesse oder eines Ofens.","Набор для строительства плавильной кузницы или печи.","Zestaw do budowy kuźni do wytopu lub pieca.","Un kit per costruire una fucina di fusione o una fornace.","Un kit para construir una forja de fundición o un horno.","Un kit pour construire une forge de fonte ou un four.","用於建造冶煉鍛爐或熔爐的套件。","製錬用の鍛冶炉または炉を建築するためのキット。","Um kit para construir uma forja de fundição ou um forno.","用于建造冶炼锻炉或熔炉的套件。",
"STR_CfgVehicles_IAT_SmeltingFurnace_ColorBase0","Smelting Furnace","Smelting Furnace","Tavicí pec","Schmelzofen","Плавильная печь","Piec do wytopu","Olvasztókemence","Forno di fusione","Horno de fundición","Four de fusion","冶煉爐","溶鉱炉","Forno de fundição","冶炼炉",
"STR_CfgVehicles_IAT_SmeltingFurnace_ColorBase1","A large structure meant for melting raw ores into ingots.","A large structure meant for melting raw ores into ingots.","Velká konstrukce určená k tavení rud na ingoty.","Eine große Struktur zum Schmelzen von Roherzen zu Barren.","Большая конструкция, предназначенная для переплавки руды в слитки.","Duża konstrukcja przeznaczona do topienia rud w sztabki.","Nagy szerkezet, amely nyers ércet olvaszt rudakká.","Una grande struttura pensata per fondere i minerali grezzi in lingotti.","Una gran estructura destinada a fundir minerales en lingotes.","Une grande structure destinée à faire fondre des minerais bruts en lingots.","用於將原礦熔煉成錠的大型結構。","鉱石をインゴットに溶かすための大型構造物。","Uma grande estrutura destinada a derreter minérios em lingotes.","用于将原矿熔炼成锭的大型结构。",
"STR_CfgVehicles_IAT_SmeltingFurnace_BasicStone0","Smelting Furnace","Smelting Furnace","Tavicí pec","Schmelzofen","Плавильная печь","Piec do wytopu","Olvasztókemence","Forno di fusione","Horno de fundición","Four de fusion","冶煉爐","溶鉱炉","Forno de fundição","冶炼炉",
"STR_CfgVehicles_IAT_SmeltingFurnace_BasicStone1","A large structure meant for melting raw ores into ingots.","A large structure meant for melting raw ores into ingots.","Velká konstrukce určená k tavení rud na ingoty.","Eine große Struktur zum Schmelzen von Roherzen zu Barren.","Большая конструкция, предназначенная для переплавки руды в слитки.","Duża konstrukcja przeznaczona do topienia rud w sztabki.","Nagy szerkezet, amely nyers ércet olvaszt rudakká.","Una grande struttura pensata per fondere i minerali grezzi in lingotti.","Una gran estructura destinada a fundir minerales en lingotes.","Une grande structure destinée à faire fondre des minerais bruts en lingots.","用於將原礦熔煉成錠的大型結構。","鉱石をインゴットに溶かすための大型構造物。","Uma grande estrutura destinada a derreter minérios em lingotes.","用于将原矿熔炼成锭的大型结构。",
"STR_CfgVehicles_IAT_SmeltingFurnace_BasicBrick0","Smelting Furnace","Smelting Furnace","Tavicí pec","Schmelzofen","Плавильная печь","Piec do wytopu","Olvasztókemence","Forno di fusione","Horno de fundición","Four de fusion","冶煉爐","溶鉱炉","Forno de fundição","冶炼炉",
"STR_CfgVehicles_IAT_SmeltingFurnace_BasicBrick1","A large structure meant for melting raw ores into ingots.","A large structure meant for melting raw ores into ingots.","Velká konstrukce určená k tavení rud na ingoty.","Eine große Struktur zum Schmelzen von Roherzen zu Barren.","Большая конструкция, предназначенная для переплавки руды в слитки.","Duża konstrukcja przeznaczona do topienia rud w sztabki.","Nagy szerkezet, amely nyers ércet olvaszt rudakká.","Una grande struttura pensata per fondere i minerali grezzi in lingotti.","Una gran estructura destinada a fundir minerales en lingotes.","Une grande structure destinée à faire fondre des minerais bruts en lingots.","用於將原礦熔煉成錠的大型結構。","鉱石をインゴットに溶かすための大型構造物。","Uma grande estrutura destinada a derreter minérios em lingotes.","用于将原矿熔炼成锭的大型结构。",
"STR_CfgVehicles_IAT_SmeltingFurnace_AdvancedStone0","Smelting Furnace","Smelting Furnace","Tavicí pec","Schmelzofen","Плавильная печь","Piec do wytopu","Olvasztókemence","Forno di fusione","Horno de fundición","Four de fusion","冶煉爐","溶鉱炉","Forno de fundição","冶炼炉",
"STR_CfgVehicles_IAT_SmeltingFurnace_AdvancedStone1","A large structure meant for melting raw ores into ingots.","A large structure meant for melting raw ores into ingots.","Velká konstrukce určená k tavení rud na ingoty.","Eine große Struktur zum Schmelzen von Roherzen zu Barren.","Большая конструкция, предназначенная для переплавки руды в слитки.","Duża konstrukcja przeznaczona do topienia rud w sztabki.","Nagy szerkezet, amely nyers ércet olvaszt rudakká.","Una grande struttura pensata per fondere i minerali grezzi in lingotti.","Una gran estructura destinada a fundir minerales en lingotes.","Une grande structure destinée à faire fondre des minerais bruts en lingots.","用於將原礦熔煉成錠的大型結構。","鉱石をインゴットに溶かすための大型構造物。","Uma grande estrutura destinada a derreter minérios em lingotes.","用于将原矿熔炼成锭的大型结构。",
"STR_CfgVehicles_IAT_SmeltingFurnace_Industrial0","Smelting Furnace","Smelting Furnace","Tavicí pec","Schmelzofen","Плавильная печь","Piec do wytopu","Olvasztókemence","Forno di fusione","Horno de fundición","Four de fusion","冶煉爐","溶鉱炉","Forno de fundição","冶炼炉",
"STR_CfgVehicles_IAT_SmeltingFurnace_Industrial1","A large structure meant for melting raw ores into ingots.","A large structure meant for melting raw ores into ingots.","Velká konstrukce určená k tavení rud na ingoty.","Eine große Struktur zum Schmelzen von Roherzen zu Barren.","Большая конструкция, предназначенная для переплавки руды в слитки.","Duża konstrukcja przeznaczona do topienia rud w sztabki.","Nagy szerkezet, amely nyers ércet olvaszt rudakká.","Una grande struttura pensata per fondere i minerali grezzi in lingotti.","Una gran estructura destinada a fundir minerales en lingotes.","Une grande structure destinée à faire fondre des minerais bruts en lingots.","用於將原礦熔煉成錠的大型結構。","鉱石をインゴットに溶かすための大型構造物。","Uma grande estrutura destinada a derreter minérios em lingotes.","用于将原矿熔炼成锭的大型结构。",
